name,snid_z,snid_z_std
psnj2352+1433,0.0291,0.0049
2005ao,0.0365,0.0031
iPTF15cpy,0.1663,0.0043
1998bp,0.0141,0.0035
2006sc,0.5535,0.0094
2006X,-0.0039,0.0045
PSNJ02263653+1208555,0.0252,0.0035
PTF10rbc,0.0958,0.003
PTF12gyr,0.1036,0.0045
PTF10rab,0.0825,0.0064
OGLE-2014-SN-053,0.1198,0.0046
2020wze,0.1494,0.0003
PTF11dhw,0.1391,0.0088
iPTF15id,0.0459,0.0042
PTF10qtb,0.114,0.0064
2007un,0.2872,0.0075
LSQ12ehh,0.1038,0.0058
SNLS-05D1kl,0.5635,0.0067
2005eu,0.0348,0.0038
2003W,0.0028,0.0058
2003ai,0.0358,0.0018
2021aafa,0.0986,0.0031
PTF12dhb,0.059,0.0043
LSQ13des,0.0652,0.0036
iPTF13ddg,0.0861,0.0063
PTF11ddx,0.1399,0.0051
PTF10aaiw,0.0657,0.005
SNLS-07D3ap,0.4392,0.0025
2001fe,0.0126,0.0018
PTF11quu,0.0961,0.0052
2006ml,0.6368,0.0019
2001ck,0.0401,0.0065
2006mk,0.4789,0.0055
iPTF14atg,0.0271,0.0048
OGLE-2015-SN-030,0.1709,0.0041
PTF11bup,0.0885,0.0028
2007gk,0.0237,0.005
2007qh,0.2529,0.0051
PS1-14md,0.0687,0.0055
PTF10jsb,0.2393,0.0038
2017fbh,0.0238,0.0
2003cg,0.0038,0.0027
PTF10ndw,0.0179,0.0024
LSQ14fnl,0.1272,0.0011
asassn-15ns,0.0402,0.0079
2006gz,0.022,0.0052
PTF12lxp,0.0384,0.0041
PTF10iu,0.1932,0.0053
2004fh,0.2154,0.0026
PTF10hjw,0.0414,0.0033
PTF09dpp,0.1662,0.0027
PTF12keu,0.0771,0.0057
PTF09dhu,0.151,0.0049
PTF10fln,0.0561,0.0072
PTF11gjh,0.0415,0.0036
PTF09ege,0.1402,0.0039
iPTF15zr,0.2046,0.0043
CSS150117-104148-014721,0.1235,0.0063
SNLS-06D3bz,0.7264,0.007
2006js,0.1919,0.005
SNHunt206,0.0279,0.0022
ASASSN-15hf,0.005,0.0016
2004fo,0.5073,0.005
2003S,0.0442,0.0031
2000cw,0.0343,0.0061
LSQ15acf,0.0744,0.0035
2003lh,0.5457,0.0104
2006ak,0.0384,0.007
2001bp,0.0949,0.0045
iPTF15iy,0.1701,0.0077
1996ai,0.005,0.0034
2002cf,0.015,0.003
iPTF15dar,0.1626,0.0018
2022zcl,0.0285,0.0046
SNLS-03D1aw,0.5849,0.0094
PTF10tte,0.2099,0.0042
OGLE16dwy,0.0778,0.0066
PTF12eac,0.0926,0.002
PS15abq,0.0923,0.0042
2018hjw,0.0427,0.0025
1994B,0.0903,0.0059
2020yff,0.0679,0.0026
2006ps,0.1054,0.0038
PSNJ17194328-7721305,0.0088,0.0044
iPTF15aek,0.1296,0.0061
PTF12igw,0.1322,0.0049
2006nd,0.209,0.1777
2006ne,0.0575,0.0064
PTF10nuz,0.1426,0.0041
PTF11bnw,0.1843,0.0043
PTF10qfo,0.0773,0.0019
1994U,0.0033,0.0049
OGLE-2013-SN-039,0.0736,0.0054
PTF12gzt,0.1587,0.0044
ESSENCEm070,0.5334,0.0034
PTF09dib,0.1026,0.0045
2003iz,0.0491,0.0043
2020pc,0.0912,0.0058
CSS131225-030144-092044,0.056,0.0046
2017hki,0.1087,0.0024
PTF11kpn,0.1851,0.0075
CSS131211-084339+161038,0.0732,0.0042
2005hj,0.0597,0.0026
PTF11byi,0.0482,0.0057
2007pf,0.123,0.0011
iPTF15drk,0.0307,0.0033
PTF09awx,0.1406,0.0046
1996by,0.0016,0.0035
2020uoo,0.0311,0.0022
PTF10ran,0.1624,0.0041
asassn-14gh,0.01,0.0043
2005cr,0.0221,0.0062
ASASSN-15cd,0.0366,0.0041
PTF10acgk,0.0985,0.0081
2017cne,0.0366,0.0026
2007sn,0.1438,0.0055
1995E,0.0135,0.0045
2006jq,0.1198,0.0032
ASASSN-15mg,0.0481,0.0048
LSQ12gjc,0.1683,0.0065
PTF10ucg,0.1684,0.0045
2007co,0.0284,0.0056
2005mz,0.018,0.0027
CSS120418-125049+222228,0.0733,0.0042
PTF10rhw,0.135,0.0067
ASASSN-15uu,0.0373,0.0046
2006op,0.0356,0.0025
2008hs,0.0138,0.0016
MASTERJ093953.18+165516.4,0.0494,0.002
2007ir,0.0419,0.0111
PTF09foz,0.0551,0.0047
PS15cej,0.0467,0.0032
2003js,0.552,0.0106
2022dqp,0.05,0.0034
iPTF15wh,0.1431,0.0054
PTF11cmp,0.1156,0.0041
iPTF14igj,0.0862,0.0038
iPTF13byz,0.2196,0.0097
1996bk,0.0069,0.0022
iPTF13byy,0.2365,0.007
LSQ12bzz,0.0633,0.0
LSQ12ftd,0.0978,0.0063
PTF10tqy,0.0433,0.0023
PTF09iag,0.0635,0.0032
PTF10qjq,0.0296,0.0028
PTF10gnj,0.0781,0.0019
iPTF14igh,0.1001,0.0059
ESSENCEk432,0.7089,0.0112
iPTF13edc,0.0634,0.0017
PTF10uic,0.1318,0.0064
CSS120416-091631+075020,0.1197,0.0062
PTF10abtp,0.1598,0.0101
PTF10gqi,0.0487,0.0039
2004fg,0.0302,0.0035
OGLE16dee,0.135,0.0067
1981B,-0.0028,0.0039
MLS140310-111158+053913,0.1054,0.0038
2006mp,0.0327,0.0052
LSQ12hjq,0.1659,0.0068
LSQ13dbn,0.1108,0.0053
PTF11ozd,0.0941,0.0009
2006fl,0.1712,0.0027
OGLE16ddi,0.0678,0.0029
2007ma,0.1236,0.0144
2008Y,0.0725,0.006
PTF10gwc,0.1276,0.0045
ASASSN-15rq,0.0168,0.005
SNLS-07D2be,0.807,0.0
PTF09qn,0.065,0.0055
SNLS-03D4fd,0.7918,0.0066
PTF12dwm,0.0538,0.0017
LSQ12btn,0.0554,0.0055
SNLS-07D1ab,0.3305,0.0023
SNLS-04D1hd,0.3651,0.0011
2003lk,0.6833,0.0054
PTF10xea,0.1892,0.0045
PTF09dsr,0.0706,0.0027
2007re,0.2094,0.0057
PTF11nvm,0.1613,0.0073
2005cf,0.0096,0.0058
1994M,0.0251,0.0053
PTF10ufh,0.1999,0.0041
SDSS-SN-103,0.1038,0.0047
CSS140427-222246+192845,0.0551,0.0028
2003jw,0.3024,0.0062
2021yal,0.0345,0.0033
iPTF15bav,0.055,0.0034
PTF11cao,0.0367,0.0047
2007jt,0.1475,0.0067
iPTF14gnw,0.1774,0.003
2022aeee,0.1036,0.0032
SDSS-SN-084,0.174,0.004
2000E,0.3912,0.0067
PTF10oix,0.2054,0.0058
PTF11mto,0.0984,0.0056
ASASSN-15eb,0.0336,0.008
2006em,0.1925,0.0053
2022onc,0.0869,0.0026
iPTF13daa,0.1312,0.007
iPTF15bai,0.0414,0.0116
PTF10umw,0.0741,0.0052
PTF11fsv,0.1201,0.0083
LSQ12hja,0.1608,0.0057
2006fi,0.234,0.0068
PTF12gmy,0.0992,0.002
CSS131031-095508+064831,0.0791,0.0056
LSQ14foy,0.115,0.006
LSQ14q,0.0669,0.0042
PTF10opq,0.1478,0.0058
PTF12cjg,0.0682,0.0031
2009ag,0.006,0.0045
PTF10gmd,0.055,0.002
LSQ12ege,0.0877,0.0057
PTF10not,0.1278,0.0058
PTF12mqz,0.0726,0.0053
SNLS-06D3fp,0.2655,0.003
2004bj,0.0508,0.0036
2003lq,0.0313,0.0057
2003du,0.0073,0.005
PTF11cey,0.1342,0.008
PTF11tl,0.0737,0.0019
PTF10xua,0.0928,0.0052
SNLS-07D3ae,0.2349,0.0026
PTF10fph,0.1336,0.0042
2006dt,0.0286,0.0026
PTF10oiv,0.0482,0.0034
ps15cku,0.026,0.0037
LSQ12gyc,0.0918,0.0057
2002jd,0.3141,0.0029
SDSS-SN-016,0.1396,0.004
SNF20080825-010,0.0411,0.0039
PTF11jfm,0.0639,0.0039
2000Q,0.0222,0.0026
iPTF13acq,0.1108,0.0079
LSQ12fiq,0.1556,0.0069
2002fk,0.0116,0.004
2004dt,0.006,0.0108
PTF10zgq,0.0408,0.0043
2020acxg,0.1697,0.0019
SNLS-08D2dz,0.6504,0.0068
2006S,0.0315,0.0038
PTF12kjl,0.0756,0.0052
PTF10uck,0.1373,0.0041
SNLS-05D3ci,0.5073,0.003
PTF10hdm,0.164,0.0089
PTF10pcb,0.139,0.0051
SNLS-07D2cb,0.689,0.0077
2007jx,0.1745,0.0076
PTF12zg,0.1177,0.0021
SNLS-05D2le,0.7063,0.0074
ESSENCEp425,0.4639,0.0078
PTF10icb,0.0094,0.003
MLS150210-102122+110418,0.154,0.0024
iPTF15ais,0.0834,0.002
asassn-15mc,0.0172,0.0015
2003ch,0.0319,0.0046
2021X,0.0628,0.0034
PTF12eck,0.1758,0.0041
CSS120418-113531+054254,0.1042,0.0061
2006jr,0.177,0.0023
2018vx,0.0411,0.0031
iPTF15abw,0.176,0.0036
PTF12emv,0.0895,0.0057
2003jy,0.3348,0.0053
LSQ13cnl,0.0609,0.0019
1997ex,0.3605,0.0032
iPTF13ehy,0.1452,0.0049
LSQ13ceq,0.1528,0.0009
SDSS-SN-108,0.0531,0.0
PTF12mnc,0.0976,0.0049
PTF10xya,0.0303,0.0052
PTF11iid,0.0736,0.0035
PTF11elh,0.0905,0.0062
2004gu,0.0009,0.0046
1989B,-0.0013,0.0069
PTF11qri,0.073,0.0056
ASASSN-15us,-0.0078,0.0015
LSQ12bpg,0.077,0.0051
PTF11ctn,0.0808,0.0038
2004eo,0.0165,0.0062
SNF20080909-030,0.0376,0.0039
2000fz,0.0549,0.0021
2001kp,0.07,0.0047
SDSS-SN-006,0.1444,0.0009
PS1-14aly,0.0808,0.0042
2000cn,0.0242,0.0046
2006jt,0.15,0.0023
1999dq,0.0654,0.0686
2021aaqf,0.038,0.0023
2002df,0.0339,0.0064
PTF09gpu,0.0854,0.0062
2007nf,0.226,0.0047
2002jb,0.2652,0.0052
iPTF15cvw,0.1165,0.0
PTF09fpl,0.0978,0.0055
PTF11aif,0.1348,0.0103
2005bo,0.0067,0.007
LSQ12cby,0.0952,0.0062
PTF10yiv,0.1116,0.0057
LSQ12fzr,0.1496,0.0057
PTF10xkb,0.1223,0.0033
SNLS-04D1jg,0.5796,0.0077
2003he,0.0273,0.0045
PTF11bop,0.1116,0.0079
SNHiTS15L,0.1558,0.0139
2002iz,0.4213,0.0037
2006fw,0.001,0.0061
2000fo,0.0238,0.0019
LSQ14hq,0.0808,0.0054
2016aud,0.036,0.0055
LSQ14eek,0.0826,0.0051
2006tt,0.6397,0.0098
2006kt,0.2523,0.0063
2008bq,0.0021,0.0034
PTF10qkv,0.0653,0.0036
PTF09si,0.0425,0.0054
2004at,0.0221,0.0055
PTF10ndi,0.1674,0.0061
iPTF13aro,0.0832,0.0035
2006cq,0.0501,0.0025
2020yyg,0.0678,0.0009
2002G,0.0365,0.0034
PTF11rke,0.0908,0.0038
2006fz,0.1007,0.0065
PTF11rpz,0.0583,0.0076
PTF09pz,0.0934,0.0048
PS15djw,0.0636,0.0021
PTF11blu,0.0731,0.0041
PTF10izy,0.0746,0.0058
2002jg,0.0186,0.0038
PTF10gvl,0.0396,0.0023
SNLS-06D1jz,0.3416,0.0019
LSQ14eds,0.1715,0.0048
PTF10abnr,0.0362,0.0048
PTF10rhi,0.084,0.0035
iPTF15dqz,0.152,0.0057
2005gj,0.9706,0.0051
PSNJ15024996+4847062,0.0249,0.0031
PTF09fqk,0.1247,0.0012
SDSS-SN-060,0.1491,0.0072
LSQ14gac,0.0841,0.004
SNLS-06D1jf,0.6269,0.0047
1999cm,0.0492,0.0052
2006ob,0.0611,0.0052
PTF12mch,0.1216,0.0054
SMTJ10310056-3658262,0.0301,0.0024
ASASSN-15gr,0.0247,0.0046
2019fpq,0.0697,0.0016
LSQ13dqh,0.1042,0.0061
PTF10kzf,0.1192,0.0075
2007qo,0.2174,0.0082
2003de,0.0401,0.0038
LSQ13crf,0.0528,0.0037
PTF10wnm,0.0663,0.0037
1998an,0.0206,0.0037
2001ie,0.0384,0.0054
SDSS-SN-112,0.1403,0.004
PTF10vzt,0.2249,0.0735
SNLS-07D3af,0.3595,0.0059
PTF12fhn,0.1287,0.0072
PTF10ieb,0.126,0.0046
PS1-14nv,0.044,0.0048
PTF11cml,0.1355,0.0042
SNF20080522-011,0.0365,0.0011
2006sq,0.2191,0.0041
PTF10zbn,0.1168,0.0053
SNLS-07D2ag,0.2573,0.0048
2008gp,0.0036,0.0059
2006ef,0.019,0.0029
SDSS-SN-054,0.1223,0.0058
PTF11izs,0.0692,0.0017
SNLS-04D2mj,0.5038,0.0046
2009D,0.0081,0.0101
PTF09csn,0.1149,0.0062
LSQ15so,0.0698,0.0057
LSQ12fli,0.1322,0.0058
PTF12gpd,0.1176,0.0044
SNLS-08D2bj,0.8444,0.0083
ASASSN-15up,0.0374,0.0017
asassn-14lp,0.0068,0.0036
2003jj,0.5904,0.0046
PTF11dtm,0.1125,0.0017
PTF10qwm,0.1051,0.0073
ASASSN-15hz,0.033,0.002
LSQ13ax,0.1661,0.0084
2006gr,0.0236,0.0074
2006bq,0.0211,0.0046
2003ij,0.0151,0.0064
OGLE15lg,0.0744,0.0059
PTF10abjp,0.1215,0.0101
PTF11cyp,0.1667,0.0044
PTF11aff,0.1854,0.0018
ASASSN-15so,0.0056,0.0053
CSS140103-082332+283814,0.1118,0.0062
2007um,0.2971,0.0073
PS1-14ra,0.031,0.005
ESSENCEm027,0.2868,0.0048
2006nw,0.1632,0.0074
PTF12giy,0.0242,0.0023
LSQ14hm,0.0615,0.0041
1998dm,0.0068,0.0045
2008R,0.0116,0.0104
PTF10twd,0.0689,0.002
PTF10jd,0.1302,0.0043
1999N,0.5442,0.0072
2003gt,0.0147,0.0022
2022cvt,0.0713,0.0048
SNLS-07D2fz,0.7294,0.0072
LSQ15bbj,0.0919,0.0099
PTF10zbk,0.0677,0.0056
2003kl,0.3302,0.0036
PTF10cko,0.0656,0.007
PTF10yux,0.0523,0.0077
2002ci,0.0215,0.0024
MLS120429-134155-143539,0.1422,0.0054
2007qg,0.3396,0.0038
PTF11icm,0.086,0.0045
2006cc,0.0281,0.0069
LSQ14bjj,0.0847,0.0051
SNLS-07D3hw,0.7471,0.0064
PTF12fsd,0.0694,0.0019
iPTF15aep,0.3073,0.0063
2007su,0.0306,0.0071
MLS140308-101937+193321,0.0608,0.0036
PTF10yiu,0.1041,0.0058
PTF11jaz,0.1629,0.0063
Gaia14abz,0.0649,0.0059
LSQ14yf,0.1868,0.0043
OGLE-2013-SN-057,0.0944,0.0039
PTF12dcg,0.1231,0.0087
1995ao,0.2397,0.0046
2005bc,0.0135,0.0036
PTF11elc,0.204,0.0044
2001bs,0.0256,0.0052
2007ml,0.186,0.0026
PS1-14wl,0.0357,0.0032
PTF10zai,0.0399,0.001
PTF10wos,0.0871,0.0048
SNLS-04D1oh,0.5926,0.0062
2005eq,0.0381,0.0317
2003ff,0.5247,0.0057
iPTF13ddi,0.1933,0.0059
CSS141021-030330-053334,0.0985,0.006
ASASSN-14ig,0.0353,0.0012
2003gn,0.0357,0.0026
PTF10fyl,0.0578,0.0045
ESSENCEn326,0.2673,0.0037
2007ro,0.1681,0.0064
PTF10aaea,0.1642,0.0039
2007qs,0.2958,0.0048
LSQ14jn,0.0944,0.0014
PSNJ08593491+4555343,0.0282,0.0018
PTF10vi,0.2057,0.0023
PTF10gsp,0.1087,0.0049
2007fb,0.019,0.0032
PTF09dyp,0.151,0.0103
PTF10acnz,0.0612,0.007
SNLS-04D4im,0.7537,0.0078
PTF11aki,0.1259,0.0073
LSQ14gde,0.0574,0.0052
PTF10gmh,0.1062,0.0039
2020enm,0.0209,0.0033
SNLS-07D4fl,0.4866,0.0069
iPTF15bjb,0.178,0.0036
LSQ14fom,0.0551,0.0038
PTF10acqu,0.1951,0.006
2007qj,0.1739,0.0039
2004L,0.037,0.0055
ASASSN-13ch,0.0201,0.0029
PTF10xjm,0.1584,0.0062
iPTF15li,0.1388,0.0044
PTF10gop,0.1041,0.0059
1991M,0.0028,0.0045
2007ih,0.1789,0.0052
PTF10qny,0.0362,0.0066
PTF11cji,0.0901,0.0021
LSQ13deq,0.1015,0.0041
2007bz,0.0199,0.0035
2013U,0.0335,0.0035
2005dh,0.0182,0.0023
PTF10vnu,0.0468,0.0031
PTF11gjb,0.1312,0.0053
2005ky,0.1419,0.008
LSQ13l,0.1018,0.0004
LSQ14gie,0.0742,0.0032
LSQ13dj,0.1742,0.0013
ASASSN-15nq,0.0314,0.0043
2009bg,0.1189,0.0065
PTF10wri,0.1229,0.006
2021at,0.1118,0.0031
2004ey,0.0099,0.0069
2004hk,0.2705,0.0
2006fm,0.1271,0.0045
PTF12eab,0.1538,0.0058
LSQ13bpc,0.0553,0.0044
PTF09bai,0.1765,0.0026
PTF12bsa,0.0963,0.0036
SNLS-06D3gx,0.7818,0.0039
2006jp,0.1605,0.0028
2002js,0.546,0.0065
PTF12gtf,0.065,0.0046
2006qc,0.1908,0.0047
2006dm,0.0202,0.0045
2009F,0.0004,0.0048
SNLS-07D3ea,0.4672,0.0018
SKY_J4043173-6350154,0.0914,0.0048
2000fy,0.1205,0.0044
2002er,0.007,0.0049
SNLS-05D4dt,0.4137,0.0081
PTF11dsn,0.1657,0.0054
iPTF15dqv,0.0811,0.0032
2007ne,0.2061,0.0013
PTF11hzx,0.2665,0.0035
LSQ12fch,0.1697,0.0059
2002dj,-0.0008,0.0056
OGLE16fml,0.1123,0.0062
2001cp,0.0212,0.0029
2006tk,0.3159,0.0069
LSQ12gln,0.1001,0.0047
ASASSN-15az,0.0308,0.0038
LSQ14gfb,0.0529,0.0041
1998ec,0.0157,0.0031
PTF12kxv,0.1401,0.0059
2007uq,0.2229,0.0
SNLS-04D2kr,0.7451,0.0055
LSQ14eef,0.063,0.0053
PTF09dyc,0.0645,0.0047
OGLE16fnh,0.0589,0.0021
SNLS-05D3cq,0.8946,0.0
2008bz,0.0612,0.0037
PTF11gnj,0.1353,0.0037
PTF12grm,0.1197,0.0051
2019pjv,0.0112,0.0006
LSQ14bka,0.0692,0.0039
PTF09awd,0.1523,0.0063
2003ik,0.0257,0.0026
PTF10elk,0.065,0.0018
PTF10acdd,0.1636,0.0052
PTF09ddw,0.1178,0.0037
2008fp,0.0009,0.0031
PTF10fxp,0.1062,0.0037
PTF09epz,0.1718,0.0043
PTF09dhx,0.0891,0.0047
asassn-15ub,0.034,0.0037
SNLS-06D1eb,0.6973,0.0078
2006sm,0.6295,0.0098
2016enx,0.0698,0.0005
2003bi,0.0958,0.0026
PTF12jid,0.1172,0.007
2002bz,0.0388,0.0028
PTF10qyq,0.1616,0.004
LSQ14ahc,0.0459,0.0047
PTF10abwy,0.0779,0.0028
PTF11gcb,0.1861,0.0032
iPTF13ai,0.0485,0.0044
ESSENCEq002,0.0915,0.0033
PTF11khk,0.0406,0.0078
LSQ14edl,0.1171,0.003
2002db,0.0342,0.0026
1986G,0.0274,0.0502
2007sw,0.0218,0.0059
2007cq,0.0281,0.0046
2008ec,0.0174,0.0018
ESSENCEm193,0.3353,0.007
2002dk,0.0181,0.0069
CSS140925-011731+054106,0.142,0.0034
1998bu,0.0039,0.0024
2006jn,0.2251,0.005
1994ae,0.0041,0.0008
LSQ15aja,0.0746,0.004
PTF09dzu,0.1374,0.0072
1998dx,0.0573,0.0047
2003Y,0.0182,0.0018
PTF11cyv,0.1185,0.0055
PTF10abws,0.129,0.0039
2007hu,0.0362,0.0038
LSQ12bxv,0.1005,0.0055
PTF10jxf,0.1582,0.0074
CSS140309-103126-155700,0.0726,0.0043
PTF10yyk,0.1879,0.008
iPTF14fyq,0.0651,0.0035
2007tg,0.5058,0.005
PTF11ksk,0.1098,0.0041
PTF10gmj,0.0853,0.0063
2020ac,0.0736,0.003
1937D,-0.0027,0.0
2006fy,0.0862,0.005
SNLS-05D2ah,0.1842,0.0025
PTF11cdo,0.1486,0.0016
iPTF15ic,0.1809,0.0039
LSQ14eey,0.0953,0.0063
iPTF15wk,0.2141,0.0071
SNF20071021-000,0.0291,0.0049
PTF09bam,0.149,0.0059
PTF10ygh,0.152,0.0062
PTF10jqz,0.1256,0.006
2004fk,0.3096,0.0061
2012ff,0.1088,0.0022
PTF10jab,0.1875,0.0033
PTF12czu,0.152,0.0064
OGLE16bqx,0.1149,0.0064
2007jd,0.0667,0.0036
2003kg,0.0256,0.007
1996bj,0.5743,0.0061
PTF10pdh,0.1398,0.0062
LSQ12byi,0.1094,0.0067
SNLS-05D3ax,0.6465,0.0074
2004hn,0.5816,0.0051
PTF11dws,0.1463,0.005
PTF10iuf,0.3224,0.0098
LSQ13csm,0.1121,0.0027
2004ef,0.0231,0.0161
2004ap,0.0142,0.0051
2001ay,0.0259,0.0125
LSQ13dlp,0.0879,0.0049
2006fj,0.1714,0.0032
PTF10vfo,0.0882,0.0043
2007qe,0.0147,0.0063
PTF12gkn,0.0788,0.003
2007le,-0.0011,0.0062
LSQ12bxw,0.1046,0.0058
SNLS-07D3cu,0.5112,0.0059
OGLE-2013-SN-041,0.1019,0.0057
PTF10mtd,0.0786,0.0049
PTF12gmq,0.1019,0.0016
2006et,0.0266,0.0063
PTF10gpm,0.1287,0.0052
iPTF15cqn,0.1689,0.0033
1999fh,0.375,0.0098
ASASSN-15aj,0.0173,0.0051
PTF10ozy,0.0494,0.004
PTF10kiw,0.0722,0.0082
2020yii,0.066,0.0036
LSQ13diw,0.0559,0.0027
2007rl,0.3383,0.0058
PTF10wpx,0.1436,0.0025
PTF12jgb,0.0329,0.0032
2002ef,0.0265,0.0054
PTF11lm,0.0577,0.0064
1996X,0.008,0.0033
iPTF15bwu,0.1704,0.0039
LSQ14bdg,0.076,0.0035
PTF10jdw,0.0783,0.0024
iPTF13dkl,0.0408,0.0047
PTF10ndn,0.0964,0.0087
PTF11rmb,0.0573,0.0024
2008bc,-0.0027,0.0048
SNLS-05D3ne,0.1706,0.0045
PTF10xku,0.221,0.0067
OGLE-2014-SN-139,0.0646,0.0045
2004br,0.0238,0.0062
2007ix,0.2118,0.0063
2007S,0.0105,0.0071
2003kf,0.0039,0.0031
PTF12sz,0.1121,0.0043
PTF11gjn,0.247,0.0032
SDSS-SN-047,0.1496,0.0075
2005ms,0.0223,0.0021
LSQ13cmt,0.0546,0.0043
iPTF15acs,0.1428,0.0055
SNLS-07D1cc,0.8504,0.0028
PTF11deg,0.0638,0.0039
PTF10bjs,0.0231,0.0069
PTF10uch,0.1329,0.0052
PTF09fvl,0.1334,0.0072
2002aw,0.0295,0.0034
LSQ13dbe,0.135,0.0014
PTF10wnq,0.0684,0.001
2009aa,0.0034,0.0032
PTF10ndc,0.0789,0.0035
OGLE-2014-SN-179,0.0739,0.0057
PTF11qpc,0.0907,0.005
iPTF15daa,0.1693,0.0031
LSQ14fmc,0.1846,0.0066
PTF09epo,0.015,0.0045
2007ra,0.0914,0.0063
2001fh,0.0165,0.0051
PTF11kod,0.1886,0.0055
2009ad,0.0699,0.0691
2007ue,0.6614,0.0011
2009be,0.1567,0.0057
2022ans,0.0741,0.0021
2007A,0.0153,0.006
1997by,0.0465,0.0022
SNLS-04D3ez,0.2639,0.0068
SNF20080514-002,0.0241,0.0037
PTF10qnn,0.0894,0.0048
PTF10nhu,0.1559,0.0042
SDSS-SN-078,0.165,0.0022
LSQ14gch,0.1596,0.0058
CSS130401-125031+090817,0.0821,0.0031
SNLS-07D4cy,0.2647,0.0095
PTF11cxs,0.1197,0.0019
PTF12lwj,0.1375,0.0016
PTF10hld,0.0314,0.0041
OGLE16exz,0.0544,0.0039
2004cj,0.1056,0.0051
2007ls,0.2507,0.0045
SNLS-08D3hh,0.4425,0.0014
PTF11pfx,0.1053,0.0066
iPTF15nu,0.124,0.0054
PTF10uff,0.1985,0.0073
2009bf,0.057,0.001
iPTF15bii,0.1364,0.0052
PSN 1347-2422,0.0221,0.0035
PTF12fjx,0.0506,0.0046
PTF11mpa,0.0293,0.0012
LSQ13bic,0.078,0.0066
PTF10rpt,0.1075,0.0
2004fz,0.0185,0.0018
PTF10trt,0.2075,0.007
2007hj,0.0163,0.0083
2006tx,0.0648,0.0
PTF10ulk,0.183,0.0033
PTF09pr,0.0384,0.0083
CSS140609-173103+203632,0.0557,0.0047
PTF12izc,0.0775,0.0045
SDSS-SN-111,0.1094,0.0026
2004cl,0.1209,0.0058
2008cl,0.0657,0.0048
2002eu,0.041,0.005
PTF10zdq,0.1677,0.004
asassn-15sf,0.0279,0.002
1997do,-0.0022,0.0057
PTF10nlp,0.1781,0.0021
PTF11jlf,0.209,0.0047
OGLE16euo,0.0714,0.0056
LSQ14fnx,0.0728,0.0044
PTF10oth,0.1481,0.0036
PTF11qmo,0.058,0.0041
PTF10abkt,0.0293,0.0091
LSQ14dxo,0.0844,0.0041
PS15cze,0.0444,0.0048
PTF10hdv,0.053,0.0037
PTF12jsi,0.0791,0.0046
2005iq,0.0319,0.0027
2018agj,0.0452,0.001
PTF10yrn,0.0998,0.005
PTF10gwe,0.0789,0.0045
2022acub,0.0824,0.0032
PTF12kwi,0.1069,0.0024
iPTF15afx,0.107,0.0027
1999gp,0.0242,0.0039
LSQ14fin,0.1197,0.0035
LSQ15jn,0.1,0.0051
2003fk,0.3526,0.0052
1997bq,-0.0037,0.0039
2003ag,0.0211,0.0027
OGLE-2013-SN-148,0.0472,0.004
2003F,0.0199,0.0019
OGLE-2013-SN-141,0.0575,0.0056
2022aeef,0.084,0.0021
OGLE-2013-SN-040,0.0935,0.0046
2021zjv,0.0528,0.0
2005bl,0.0228,0.0077
PTF10ucj,0.1115,0.005
PTF10wof,0.0487,0.0056
PTF12igp,0.1685,0.0055
PTF12dxm,0.0637,0.0032
2007qy,0.2269,0.0015
2001bg,0.0094,0.0047
PTF11jpv,0.1687,0.0014
2006qj,0.1123,0.0073
ESSENCEn322,0.7498,0.0024
2006bz,0.0288,0.0063
iPTF15bvx,0.1743,0.0116
2003ez,0.0509,0.0035
2008hj,0.0371,0.0065
Gaia15aaq,0.0658,0.0037
2006os,-0.0008,0.0043
PTF10jtp,0.0682,0.0017
2007rs,0.7914,0.0035
PTF11kpb,0.1474,0.0042
PTF11apq,0.0752,0.003
2001eh,0.0381,0.0043
2021abcn,0.0894,0.0
2002hw,0.0183,0.0039
2002he,0.0232,0.0051
2007gi,-0.0059,0.0032
ESSENCEn368,0.3429,0.0052
LSQ14edn,0.1096,0.0012
iPTF14gdr,0.0712,0.0034
LSQ14aym,0.051,0.0032
PTF10fxq,0.1077,0.0019
2019bus,0.0802,0.0016
PTF11kml,0.0825,0.0031
2007ka,0.2213,0.0011
PTF09gul,0.0736,0.007
LSQ15bi,0.0401,0.002
PTF11aig,0.197,0.0038
2006hx,-0.0002,0.0025
2019gf,0.0616,0.0007
PTF12dyv,0.1209,0.0043
2019nzx,0.0605,0.0028
PTF11rnq,0.1504,0.0051
SDSS-SN-037,0.1342,0.0048
2006jh,0.1372,0.005
1997Y,0.0187,0.0036
2003hv,0.0121,0.0057
LSQ15uc,0.1083,0.0067
2020adph,0.074,0.0031
PTF09gvo,0.1387,0.0037
PTF11bui,0.0186,0.0044
2003cq,0.0366,0.0049
LSQ12hle,0.1055,0.0047
2001gb,0.0297,0.0054
2007ba,0.035,0.0158
2022ncx,0.0581,0.0037
2019umc,0.0326,0.0042
SNLS-06D1fd,0.3544,0.0041
2006or,0.0279,0.005
PTF12ldz,0.0647,0.002
SNLS-05D4dx,0.8255,0.0073
PTF10qjl,0.0578,0.0051
iPTF15jq,0.0665,0.005
2004hj,0.3483,0.0049
CSS140501-170414+174839,0.0782,0.0052
PTF11cmg,0.1004,0.0037
PTF10cmj,0.118,0.008
2005A,0.0147,0.0074
1996Z,0.0038,0.003
