name,snid_z,snid_z_std
PTF12guy,0.1507,0.0067
1998cs,0.0318,0.0092
2004S,0.0155,0.0066
2006qm,0.1406,0.002
PTF09itz,0.1239,0.0082
PTF11kaw,0.0821,0.0033
LSQ14gcj,0.0402,0.0055
PTF10pdf,0.0699,0.0074
PTF11jar,0.1145,0.0035
SNLS-08D2ad,0.5614,0.0095
2009bc,0.1239,0.0068
2002bo,-0.0024,0.0048
ASASSN-15he,0.0178,0.003
SNF20080522-000,0.0622,0.0458
PTF10stw,0.046,0.0058
LSQ12elk,0.1304,0.005
2001iq,0.0176,0.0041
2007au,0.0253,0.006
2005ej,0.0425,0.0046
SNLS-07D2du,0.5504,0.0063
2020zbg,0.1024,0.003
2006az,0.0361,0.0049
1997bp,-0.0005,0.0045
2005ch,0.0278,0.0039
PTF10yyt,0.0398,0.0045
ASASSN-15tj,0.0133,0.0077
PTF12mpc,0.1351,0.0037
2008ar,0.026,0.0118
SNHiTS15I,0.152,0.0052
2004bw,0.0184,0.0037
iPTF14bdn,0.0589,0.061
PTF12ibd,0.1205,0.0019
PTF10gtq,0.1927,0.0028
LSQ12fwt,0.1362,0.0056
PTF10cwy,0.0687,0.0035
1999fw,0.2854,0.0067
LSQ12gkx,0.2572,0.0003
iPTF13dwk,0.2699,0.0045
iPTF13dym,0.0443,0.0051
PTF11lnb,0.1485,0.0048
SNLS-06D2ag,0.3098,0.0049
iPTF14bdd,0.151,0.005
PTF11wv,0.0912,0.0015
SNLS-06D4gs,0.3103,0.0054
2006fc,0.1258,0.0064
PTF12egr,0.1344,0.0064
2008dx,0.0259,0.0017
SNLS-06D1bt,0.8072,0.0046
PTF10opn,0.1483,0.0083
PTF11eot,0.0917,0.0058
SNLS-07D3ib,0.6749,0.0002
2003kt,0.617,0.0053
LSQ13czi,0.1136,0.0057
SNLS-04D3mk,0.5933,0.0084
1572A,0.0059,0.0051
1998es,0.0686,0.0683
1999aa,0.0777,0.0714
PTF12kxp,0.1506,0.0042
OGLE-2014-SN-021,0.0416,0.0068
PTF11bmc,0.1332,0.006
2021itp,0.0906,0.0
PTF10clw,0.1182,0.0043
2021qua,0.0696,0.0035
SNLS-05D1iy,0.2466,0.0054
1997E,0.0162,0.0044
2000ey,0.0213,0.0086
PTF09akb,0.0555,0.0045
2006sn,0.4212,0.0005
2008hq,0.0813,0.0082
2003kc,0.0297,0.0065
iPTF13adc,0.0802,0.0084
2007fr,0.054,0.005
PTF10hcu,0.0939,0.0051
2006mr,0.0,0.0021
PTF10jko,0.1264,0.0057
SNLS-03D3ay,0.3777,0.005
2004bg,0.0245,0.0049
SDSS-SN-117,0.1175,0.0013
2003jo,0.528,0.0041
PTF10ykf,0.1503,0.0043
PTF09uu,0.1588,0.0025
2000dk,0.0225,0.0057
SNLS-07D3hu,0.584,0.004
LSQ13cex,0.0792,0.0007
2020win,0.1442,0.001
SNLS-07D3do,0.7795,0.0039
PTF12gmu,0.1253,0.0074
LSQ14am,0.0995,0.0043
2008bt,0.0181,0.0023
PTF11paw,0.1929,0.0016
SNLS-07D4dq,0.5642,0.0109
iPTF13aol,0.1203,0.0013
2019tjm,0.0342,0.0024
2008L,0.024,0.0048
PTF11ppn,0.0836,0.0075
PTF12gnw,0.1071,0.0041
2006lf,0.0156,0.0047
2007ty,0.7495,0.0012
PTF12fkk,0.0506,0.006
2006dv,0.0355,0.0043
PS15bom,0.0244,0.0042
PTF10ucv,0.2331,0.0069
2006jy,0.1992,0.0033
2003kr,0.4154,0.0063
ASASSN-15kx,0.0175,0.0031
PTF10goo,0.0897,0.0054
2007oo,0.0294,0.0051
LSQ14mc,0.0598,0.0046
PTF10fej,0.1112,0.0062
iPTF15crv,0.146,0.0044
PTF11dll,0.1571,0.0068
PTF12ikt,0.0469,0.0035
PTF09gqo,0.0391,0.0017
SSS130304-114144-171349,0.0457,0.0025
OGLE-2012-SN-032,0.0632,0.0024
LSQ15gv,0.1213,0.005
PTF12gix,0.1156,0.0074
PTF10xtp,0.1045,0.0027
